emp_no,title,to_date,salary,birth_date
78938,Senior Staff,9999-01-01,67668,1955-03-30
78940,Senior Engineer,9999-01-01,40000,1955-02-22
78943,Staff,9999-01-01,49449,1952-03-23
78958,Senior Engineer,9999-01-01,60117,1952-10-01
78960,Engineer,9999-01-01,40000,1952-11-09
78965,Senior Engineer,9999-01-01,50921,1955-07-12
78979,Senior Engineer,9999-01-01,40000,1952-04-18
78982,Senior Engineer,9999-01-01,40000,1955-07-20
78986,Senior Staff,9999-01-01,40000,1953-05-01
78990,Senior Engineer,9999-01-01,40000,1955-08-11
78994,Staff,9999-01-01,40000,1955-05-26
79001,Engineer,9999-01-01,40000,1954-01-24
79002,Senior Engineer,9999-01-01,44155,1952-03-12
79010,Engineer,9999-01-01,42814,1955-05-02
79012,Senior Engineer,9999-01-01,51310,1954-04-17
79015,Senior Engineer,9999-01-01,51693,1953-03-04
79016,Senior Staff,9999-01-01,71863,1954-04-01
79026,Senior Engineer,9999-01-01,54761,1952-02-02
79031,Senior Engineer,9999-01-01,40000,1955-04-09
79032,Staff,9999-01-01,62648,1953-12-01
79034,Senior Staff,9999-01-01,56614,1952-02-02
79037,Senior Engineer,9999-01-01,40000,1955-12-21
79041,Staff,9999-01-01,42636,1954-10-24
79042,Senior Engineer,9999-01-01,40000,1953-08-10
79049,Senior Staff,9999-01-01,78298,1952-03-09
79052,Senior Staff,9999-01-01,51347,1953-10-21
79057,Engineer,9999-01-01,40000,1953-06-15
79058,Senior Engineer,9999-01-01,66174,1955-06-14
79059,Assistant Engineer,9999-01-01,45456,1953-07-31
79061,Engineer,9999-01-01,41303,1953-06-20
79064,Engineer,9999-01-01,56720,1955-08-23
79072,Senior Engineer,9999-01-01,58070,1953-11-08
79073,Senior Staff,9999-01-01,50436,1952-10-17
79076,Engineer,9999-01-01,64151,1955-06-04
79079,Senior Engineer,9999-01-01,49657,1955-12-14
79082,Senior Engineer,9999-01-01,40000,1952-08-17
79087,Engineer,9999-01-01,40000,1953-08-10
79090,Senior Engineer,9999-01-01,44958,1954-04-23
79091,Senior Staff,9999-01-01,69379,1954-02-13
79092,Senior Staff,9999-01-01,58019,1955-05-22
79093,Staff,9999-01-01,65406,1952-03-09
79100,Senior Staff,9999-01-01,71551,1955-03-18
79102,Staff,9999-01-01,70517,1952-11-01
79110,Engineer,9999-01-01,71332,1955-05-01
79114,Engineer,9999-01-01,70617,1953-05-20
79117,Senior Engineer,9999-01-01,40000,1955-09-19
79119,Senior Engineer,9999-01-01,50158,1955-08-23
79121,Senior Staff,9999-01-01,75859,1953-09-12
79130,Senior Staff,9999-01-01,40000,1954-11-09
79131,Engineer,9999-01-01,56922,1955-04-09
79138,Engineer,9999-01-01,59710,1955-05-11
79140,Senior Engineer,9999-01-01,40000,1955-05-12
79145,Senior Staff,9999-01-01,62064,1952-07-20
79154,Senior Engineer,9999-01-01,41356,1952-08-05
79156,Senior Engineer,9999-01-01,44107,1955-02-05
79158,Senior Staff,9999-01-01,40000,1955-02-26
79163,Senior Engineer,9999-01-01,45392,1955-10-01
79165,Senior Engineer,9999-01-01,40000,1954-06-27
79170,Senior Staff,9999-01-01,81080,1955-07-29
79177,Technique Leader,9999-01-01,45864,1955-08-26
79178,Senior Engineer,9999-01-01,53203,1952-08-21
79183,Senior Staff,9999-01-01,40000,1952-06-12
79187,Senior Engineer,9999-01-01,44106,1952-09-15
79199,Staff,9999-01-01,72543,1952-07-08
79200,Staff,9999-01-01,40000,1952-08-08
79202,Senior Engineer,9999-01-01,59316,1955-12-17
79203,Senior Engineer,9999-01-01,40000,1952-11-10
79204,Senior Staff,9999-01-01,57667,1953-08-16
79209,Staff,9999-01-01,40000,1953-07-12
79210,Senior Engineer,9999-01-01,63966,1952-06-05
79218,Engineer,9999-01-01,40000,1953-05-20
79219,Senior Engineer,9999-01-01,47272,1953-02-27
79245,Engineer,9999-01-01,68638,1953-05-07
79247,Senior Engineer,9999-01-01,40000,1952-06-09
79251,Senior Staff,9999-01-01,63154,1955-07-31
79254,Senior Engineer,9999-01-01,40000,1953-05-25
79264,Senior Engineer,9999-01-01,46541,1952-09-15
79265,Senior Staff,9999-01-01,40000,1952-07-03
79267,Senior Engineer,9999-01-01,44868,1953-12-06
79269,Engineer,9999-01-01,60956,1954-09-16
79273,Senior Staff,9999-01-01,47358,1955-10-18
79275,Senior Staff,9999-01-01,65368,1952-04-25
79277,Senior Staff,9999-01-01,40000,1955-03-08
79280,Senior Staff,9999-01-01,71083,1955-04-14
79285,Engineer,9999-01-01,49127,1952-09-01
79290,Engineer,9999-01-01,41408,1953-06-18
79293,Technique Leader,9999-01-01,55625,1953-06-05
79297,Senior Engineer,9999-01-01,71444,1954-01-08
79313,Staff,9999-01-01,40771,1955-07-10
79314,Staff,9999-01-01,53303,1953-07-23
79320,Senior Engineer,9999-01-01,72590,1954-01-17
79323,Senior Staff,9999-01-01,56854,1953-07-19
79338,Engineer,9999-01-01,40000,1953-10-12
79339,Senior Engineer,9999-01-01,40483,1952-12-28
79348,Technique Leader,9999-01-01,40000,1955-02-08
79350,Senior Engineer,9999-01-01,78005,1953-06-24
79351,Engineer,9999-01-01,40000,1953-09-03
79358,Engineer,9999-01-01,69067,1953-07-05
79367,Engineer,9999-01-01,56407,1953-03-12
79369,Staff,9999-01-01,58015,1953-04-13
79370,Engineer,9999-01-01,40000,1954-09-15
79375,Senior Staff,9999-01-01,40000,1952-03-20
79376,Senior Staff,9999-01-01,40000,1953-05-12
79390,Staff,9999-01-01,57482,1953-02-06
79391,Senior Engineer,9999-01-01,40000,1954-06-22
79393,Staff,9999-01-01,68825,1955-09-12
79397,Engineer,9999-01-01,51948,1952-07-28
79401,Senior Staff,9999-01-01,40000,1955-10-19
79406,Senior Engineer,9999-01-01,40000,1952-02-28
79409,Senior Engineer,9999-01-01,40000,1953-11-06
79411,Senior Staff,9999-01-01,57780,1953-11-29
79417,Engineer,9999-01-01,73133,1952-02-28
79419,Senior Engineer,9999-01-01,59239,1952-06-08
79428,Senior Engineer,9999-01-01,44184,1955-10-26
79429,Engineer,9999-01-01,50826,1953-01-04
79432,Senior Staff,9999-01-01,45866,1952-08-07
79434,Senior Engineer,9999-01-01,54486,1954-11-04
79436,Senior Staff,9999-01-01,64252,1954-02-16
79438,Staff,9999-01-01,55420,1952-11-25
79442,Senior Staff,9999-01-01,91919,1952-09-08
79446,Technique Leader,9999-01-01,47898,1953-10-13
79449,Engineer,9999-01-01,40000,1955-04-19
79451,Technique Leader,9999-01-01,40000,1955-10-10
79456,Senior Staff,9999-01-01,45163,1954-12-10
79460,Technique Leader,9999-01-01,40000,1953-11-01
79463,Senior Staff,9999-01-01,54552,1954-04-02
79468,Senior Staff,9999-01-01,48140,1952-07-09
79470,Senior Engineer,9999-01-01,56510,1952-05-14
79473,Technique Leader,9999-01-01,51708,1955-01-05
79477,Senior Staff,9999-01-01,40000,1953-03-07
79484,Senior Staff,9999-01-01,78412,1955-01-01
79486,Senior Engineer,9999-01-01,60434,1952-05-30
79488,Senior Engineer,9999-01-01,50039,1954-10-01
79498,Senior Staff,9999-01-01,69185,1955-08-13
79499,Senior Staff,9999-01-01,40000,1955-02-09
79505,Senior Engineer,9999-01-01,63233,1952-08-28
79509,Senior Staff,9999-01-01,96991,1952-09-09
79514,Engineer,9999-01-01,50534,1953-01-11
79515,Engineer,9999-01-01,40000,1953-05-21
79530,Staff,9999-01-01,44021,1953-10-06
79533,Engineer,9999-01-01,40000,1954-01-22
79543,Senior Staff,9999-01-01,51247,1952-10-22
79544,Senior Staff,9999-01-01,51625,1952-03-15
79546,Engineer,9999-01-01,62241,1953-05-01
79548,Staff,9999-01-01,45447,1955-09-04
79553,Senior Staff,9999-01-01,40000,1954-05-17
79563,Senior Staff,9999-01-01,69643,1953-12-23
79566,Senior Staff,9999-01-01,89076,1953-06-29
79567,Senior Engineer,9999-01-01,51546,1955-04-13
79570,Senior Staff,9999-01-01,45148,1953-04-20
79582,Senior Engineer,9999-01-01,52556,1952-10-19
79590,Senior Staff,9999-01-01,40635,1953-08-20
79602,Staff,9999-01-01,40000,1952-06-05
79612,Senior Engineer,9999-01-01,40000,1953-12-11
79613,Senior Engineer,9999-01-01,55142,1954-07-07
79614,Senior Staff,9999-01-01,64808,1954-02-13
79616,Senior Engineer,9999-01-01,64960,1952-07-16
79628,Senior Engineer,9999-01-01,44315,1952-03-09
79631,Senior Engineer,9999-01-01,42303,1953-03-26
79639,Senior Engineer,9999-01-01,46031,1954-04-30
79643,Engineer,9999-01-01,40000,1955-10-12
79644,Technique Leader,9999-01-01,40000,1955-09-18
79648,Senior Engineer,9999-01-01,67783,1955-06-24
79651,Engineer,9999-01-01,47095,1954-11-09
79656,Engineer,9999-01-01,42624,1952-03-11
79659,Senior Engineer,9999-01-01,45645,1954-06-07
79668,Technique Leader,9999-01-01,40000,1952-07-15
79669,Assistant Engineer,9999-01-01,44222,1952-10-01
79672,Senior Engineer,9999-01-01,50664,1955-09-22
79674,Senior Staff,9999-01-01,40000,1955-01-09
79681,Senior Engineer,9999-01-01,41548,1952-05-12
79684,Senior Staff,9999-01-01,64447,1952-06-28
79687,Senior Engineer,9999-01-01,66911,1955-10-12
79688,Senior Engineer,9999-01-01,56991,1955-03-10
79693,Senior Engineer,9999-01-01,46929,1953-01-31
79695,Engineer,9999-01-01,45330,1952-04-24
79696,Senior Engineer,9999-01-01,55778,1952-07-04
79699,Engineer,9999-01-01,49623,1952-05-11
79703,Senior Engineer,9999-01-01,49181,1954-07-05
79704,Engineer,9999-01-01,48603,1953-06-25
79708,Senior Staff,9999-01-01,43736,1952-10-22
79718,Staff,9999-01-01,40000,1955-04-10
79729,Senior Staff,9999-01-01,74975,1952-10-14
79735,Technique Leader,9999-01-01,40000,1953-11-19
79748,Senior Engineer,9999-01-01,40000,1955-04-01
79750,Senior Staff,9999-01-01,40000,1954-02-15
79757,Senior Staff,9999-01-01,79139,1952-04-24
79758,Staff,9999-01-01,88840,1953-01-22
79759,Senior Staff,9999-01-01,65787,1955-03-07
79761,Senior Engineer,9999-01-01,47466,1954-03-30
79765,Senior Staff,9999-01-01,55420,1952-12-18
79766,Engineer,9999-01-01,40000,1955-06-14
79770,Technique Leader,9999-01-01,56155,1954-12-09
79771,Staff,9999-01-01,40000,1953-09-03
79772,Senior Staff,9999-01-01,69129,1955-04-22
79775,Technique Leader,9999-01-01,57991,1953-02-04
79779,Senior Engineer,9999-01-01,40000,1953-12-15
79783,Senior Engineer,9999-01-01,67885,1952-07-15
79786,Senior Engineer,9999-01-01,41958,1953-06-02
79789,Senior Engineer,9999-01-01,40000,1953-11-25
79794,Senior Staff,9999-01-01,41327,1955-12-11
79795,Senior Engineer,9999-01-01,40000,1954-02-16
79810,Senior Staff,9999-01-01,57980,1952-02-13
79811,Senior Staff,9999-01-01,40000,1955-08-06
79822,Engineer,9999-01-01,40000,1954-07-12
79833,Senior Engineer,9999-01-01,40687,1955-06-25
79834,Senior Staff,9999-01-01,68288,1955-09-26
79837,Senior Staff,9999-01-01,40000,1953-12-06
79839,Senior Engineer,9999-01-01,45102,1954-08-15
79855,Senior Engineer,9999-01-01,45522,1953-04-02
79858,Senior Engineer,9999-01-01,43004,1954-05-20
79875,Senior Engineer,9999-01-01,40000,1955-07-13
79876,Senior Staff,9999-01-01,45595,1953-09-14
79877,Engineer,9999-01-01,45352,1954-07-05
79879,Senior Staff,9999-01-01,40000,1955-04-30
79883,Senior Staff,9999-01-01,83903,1953-10-28
79900,Senior Staff,9999-01-01,40000,1955-04-19
79902,Senior Engineer,9999-01-01,40000,1953-10-29
79906,Senior Staff,9999-01-01,53526,1954-05-28
79910,Senior Staff,9999-01-01,77027,1953-05-17
79911,Senior Engineer,9999-01-01,40000,1952-12-28
79921,Senior Engineer,9999-01-01,40000,1954-07-23
79946,Senior Staff,9999-01-01,51364,1954-09-21
79947,Engineer,9999-01-01,48950,1954-07-15
79954,Senior Engineer,9999-01-01,43449,1954-09-04
79955,Engineer,9999-01-01,50723,1955-09-24
79958,Senior Engineer,9999-01-01,44663,1952-03-17
79961,Staff,9999-01-01,76914,1954-05-10
79962,Technique Leader,9999-01-01,40000,1953-05-29
79967,Engineer,9999-01-01,55316,1952-03-03
79972,Senior Staff,9999-01-01,40000,1952-04-11
79973,Senior Staff,9999-01-01,58515,1955-07-29
79977,Senior Engineer,9999-01-01,53165,1952-02-28
79979,Senior Engineer,9999-01-01,69991,1955-10-26
79985,Senior Staff,9999-01-01,64713,1954-10-02
79990,Senior Staff,9999-01-01,62571,1954-07-20
79991,Senior Engineer,9999-01-01,40000,1954-01-25
79999,Senior Engineer,9999-01-01,53653,1952-10-21
80012,Senior Engineer,9999-01-01,40000,1955-07-07
80013,Staff,9999-01-01,40000,1955-01-27
80024,Senior Staff,9999-01-01,40000,1953-06-06
80029,Senior Staff,9999-01-01,67902,1955-03-27
80031,Senior Engineer,9999-01-01,60298,1952-03-10
80032,Senior Staff,9999-01-01,71546,1955-12-20
80037,Staff,9999-01-01,68262,1952-06-25
80038,Technique Leader,9999-01-01,54900,1955-09-23
80041,Staff,9999-01-01,54896,1955-04-20
80046,Engineer,9999-01-01,57292,1954-11-01
80047,Senior Staff,9999-01-01,40000,1955-09-21
80049,Engineer,9999-01-01,40000,1952-11-05
80056,Senior Engineer,9999-01-01,40000,1954-01-04
80062,Assistant Engineer,9999-01-01,40000,1954-01-11
80068,Staff,9999-01-01,40000,1952-03-23
80069,Senior Engineer,9999-01-01,44620,1953-04-22
80070,Senior Staff,9999-01-01,61825,1955-05-26
80072,Staff,9999-01-01,40000,1955-01-12
80076,Senior Staff,9999-01-01,58641,1954-12-20
80079,Senior Engineer,9999-01-01,62560,1955-09-09
80083,Senior Staff,9999-01-01,73466,1955-08-28
80084,Senior Staff,9999-01-01,66552,1954-01-09
80087,Technique Leader,9999-01-01,72886,1954-08-20
80092,Senior Engineer,9999-01-01,76550,1954-01-14
80098,Senior Staff,9999-01-01,53636,1953-05-23
80100,Staff,9999-01-01,40000,1952-06-08
80103,Senior Staff,9999-01-01,40000,1955-08-14
80105,Staff,9999-01-01,62537,1955-06-07
80106,Engineer,9999-01-01,43686,1952-12-16
80112,Senior Engineer,9999-01-01,71794,1953-06-25
80123,Senior Staff,9999-01-01,55236,1955-10-22
80128,Senior Engineer,9999-01-01,40000,1953-07-19
80129,Senior Staff,9999-01-01,56879,1954-07-01
80130,Senior Staff,9999-01-01,59967,1953-12-14
80131,Staff,9999-01-01,40000,1955-01-04
80132,Senior Engineer,9999-01-01,46989,1955-04-23
80136,Senior Engineer,9999-01-01,57680,1952-07-04
80137,Senior Staff,9999-01-01,51393,1954-03-15
80144,Senior Engineer,9999-01-01,44917,1954-07-13
80146,Senior Engineer,9999-01-01,41274,1952-04-07
80151,Senior Staff,9999-01-01,81666,1955-12-27
80152,Senior Staff,9999-01-01,47391,1954-07-29
80155,Senior Staff,9999-01-01,48231,1954-01-25
80156,Senior Engineer,9999-01-01,40000,1955-02-24
80157,Senior Staff,9999-01-01,41519,1954-10-07
80159,Senior Staff,9999-01-01,40000,1954-05-28
80160,Technique Leader,9999-01-01,40000,1953-01-10
80166,Senior Engineer,9999-01-01,64575,1955-12-11
80171,Technique Leader,9999-01-01,40000,1952-11-03
80175,Senior Engineer,9999-01-01,40000,1952-08-17
80183,Senior Staff,9999-01-01,66573,1954-02-04
80184,Senior Staff,9999-01-01,45100,1953-09-30
80186,Senior Engineer,9999-01-01,60850,1954-01-16
80195,Senior Staff,9999-01-01,40000,1953-02-05
80198,Senior Staff,9999-01-01,43274,1955-02-16
80200,Engineer,9999-01-01,59857,1953-12-15
80207,Senior Staff,9999-01-01,40000,1954-12-20
80208,Technique Leader,9999-01-01,42186,1955-09-05
80223,Senior Engineer,9999-01-01,45975,1955-07-15
80224,Senior Staff,9999-01-01,54345,1955-07-21
80225,Senior Staff,9999-01-01,50529,1952-05-01
80227,Senior Engineer,9999-01-01,54326,1953-07-31
80233,Senior Engineer,9999-01-01,67272,1954-04-13
80237,Engineer,9999-01-01,68194,1953-12-16
80251,Senior Engineer,9999-01-01,42153,1955-07-05
80257,Engineer,9999-01-01,55707,1952-08-04
80258,Senior Staff,9999-01-01,93572,1955-03-06
80259,Engineer,9999-01-01,49124,1952-04-27
80260,Senior Engineer,9999-01-01,40000,1953-11-21
80263,Senior Engineer,9999-01-01,54269,1953-07-21
80270,Senior Staff,9999-01-01,95653,1955-02-17
80272,Senior Engineer,9999-01-01,50965,1954-06-14
80273,Staff,9999-01-01,55958,1953-05-07
80279,Senior Engineer,9999-01-01,46038,1953-04-20
80280,Senior Staff,9999-01-01,40000,1952-03-17
80286,Senior Staff,9999-01-01,74388,1955-04-02
80288,Senior Engineer,9999-01-01,40000,1954-12-17
80294,Senior Staff,9999-01-01,60168,1954-04-09
80295,Engineer,9999-01-01,54634,1955-06-20
80307,Engineer,9999-01-01,40000,1952-07-01
80318,Senior Engineer,9999-01-01,40000,1954-01-12
80322,Staff,9999-01-01,40000,1954-12-21
80325,Senior Staff,9999-01-01,67939,1953-07-19
80326,Staff,9999-01-01,76342,1953-04-29
80328,Senior Engineer,9999-01-01,64516,1952-06-23
80332,Senior Staff,9999-01-01,52246,1955-03-19
80338,Senior Staff,9999-01-01,52275,1952-06-24
80341,Senior Staff,9999-01-01,69377,1953-01-15
80346,Senior Staff,9999-01-01,40000,1954-03-20
80352,Senior Staff,9999-01-01,91102,1955-08-22
80358,Senior Engineer,9999-01-01,76727,1954-02-10
80370,Senior Engineer,9999-01-01,50654,1953-04-17
80372,Staff,9999-01-01,87200,1954-11-28
80374,Senior Engineer,9999-01-01,58505,1955-08-20
80375,Senior Engineer,9999-01-01,40000,1955-11-16
80376,Staff,9999-01-01,52462,1954-03-11
80380,Staff,9999-01-01,41790,1952-11-19
80386,Engineer,9999-01-01,49344,1955-08-26
80389,Engineer,9999-01-01,40000,1955-03-11
80392,Senior Engineer,9999-01-01,75792,1953-06-05
80395,Staff,9999-01-01,40000,1955-02-04
80409,Senior Staff,9999-01-01,40000,1953-10-17
80410,Staff,9999-01-01,42522,1954-09-17
80414,Senior Engineer,9999-01-01,40000,1953-09-14
80419,Senior Staff,9999-01-01,56031,1954-04-09
80422,Senior Staff,9999-01-01,40611,1952-03-14
80425,Senior Staff,9999-01-01,40000,1955-03-02
80429,Senior Staff,9999-01-01,75560,1955-07-22
80437,Senior Staff,9999-01-01,69248,1953-08-17
80439,Senior Engineer,9999-01-01,46011,1954-09-19
80445,Senior Engineer,9999-01-01,52939,1953-03-29
80451,Senior Engineer,9999-01-01,59944,1953-02-19
80455,Senior Engineer,9999-01-01,55294,1952-12-04
80456,Senior Engineer,9999-01-01,40000,1955-07-16
80462,Senior Engineer,9999-01-01,40000,1955-01-21
80466,Staff,9999-01-01,78991,1954-01-18
80467,Staff,9999-01-01,47541,1952-03-18
80477,Senior Engineer,9999-01-01,76640,1955-09-03
80478,Senior Engineer,9999-01-01,47761,1953-01-21
80479,Senior Staff,9999-01-01,40000,1955-10-11
80489,Senior Engineer,9999-01-01,43454,1953-04-30
80492,Senior Engineer,9999-01-01,50226,1952-08-14
80498,Senior Staff,9999-01-01,40000,1953-10-15
80509,Senior Engineer,9999-01-01,72428,1952-02-24
80512,Engineer,9999-01-01,50254,1955-01-17
80520,Senior Engineer,9999-01-01,47245,1955-07-01
80522,Senior Staff,9999-01-01,55396,1953-03-03
80528,Staff,9999-01-01,40000,1952-06-03
80540,Senior Engineer,9999-01-01,40000,1952-10-15
80546,Senior Staff,9999-01-01,47440,1952-08-17
80550,Senior Engineer,9999-01-01,45292,1952-06-12
80551,Senior Staff,9999-01-01,49073,1952-04-25
80561,Senior Engineer,9999-01-01,45289,1955-08-10
80564,Assistant Engineer,9999-01-01,40000,1955-11-03
80570,Senior Engineer,9999-01-01,40000,1953-07-23
80572,Senior Engineer,9999-01-01,49708,1953-04-23
80578,Senior Engineer,9999-01-01,40000,1952-09-15
80589,Senior Engineer,9999-01-01,40000,1953-06-13
80597,Senior Staff,9999-01-01,40000,1953-01-04
80600,Senior Engineer,9999-01-01,40000,1952-04-15
80610,Engineer,9999-01-01,48735,1954-08-16
80611,Senior Engineer,9999-01-01,45634,1953-02-11
80617,Senior Engineer,9999-01-01,42118,1954-03-16
80620,Senior Staff,9999-01-01,79127,1955-01-17
80628,Senior Staff,9999-01-01,59678,1953-07-13
80630,Senior Engineer,9999-01-01,41854,1954-05-04
80637,Senior Staff,9999-01-01,57520,1955-04-23
80639,Senior Engineer,9999-01-01,42135,1955-03-20
80651,Engineer,9999-01-01,40000,1954-04-11
80653,Senior Engineer,9999-01-01,64113,1954-08-21
80661,Technique Leader,9999-01-01,68187,1952-09-08
80663,Senior Engineer,9999-01-01,54829,1952-12-20
80665,Senior Staff,9999-01-01,64768,1955-02-03
80673,Senior Staff,9999-01-01,63886,1955-12-26
80675,Engineer,9999-01-01,51633,1954-07-30
80681,Senior Engineer,9999-01-01,40000,1952-06-22
80683,Senior Engineer,9999-01-01,40000,1955-02-24
80684,Senior Staff,9999-01-01,46101,1955-10-15
80687,Senior Engineer,9999-01-01,44986,1954-10-02
80689,Senior Engineer,9999-01-01,44594,1954-08-04
80702,Senior Engineer,9999-01-01,58203,1954-02-03
80703,Staff,9999-01-01,69257,1954-02-05
80705,Technique Leader,9999-01-01,50573,1955-03-06
80717,Senior Staff,9999-01-01,52990,1954-08-09
80721,Senior Staff,9999-01-01,52063,1953-11-09
80722,Senior Staff,9999-01-01,70299,1954-09-08
80724,Senior Staff,9999-01-01,52024,1953-04-27
80729,Engineer,9999-01-01,40000,1955-02-06
80740,Senior Engineer,9999-01-01,40000,1954-07-20
80744,Staff,9999-01-01,68891,1954-11-18
80746,Senior Engineer,9999-01-01,53520,1953-06-10
80751,Senior Engineer,9999-01-01,49178,1955-05-24
80758,Senior Engineer,9999-01-01,40000,1953-09-24
80761,Senior Staff,9999-01-01,54435,1954-07-29
80762,Senior Engineer,9999-01-01,60070,1955-05-09
80768,Technique Leader,9999-01-01,40000,1952-11-28
80774,Senior Engineer,9999-01-01,56559,1953-05-29
80777,Senior Staff,9999-01-01,75068,1955-10-25
80779,Senior Staff,9999-01-01,69353,1954-03-08
80781,Senior Engineer,9999-01-01,40000,1955-05-05
80782,Senior Staff,9999-01-01,46826,1955-10-16
80783,Senior Staff,9999-01-01,76432,1953-05-12
80786,Senior Engineer,9999-01-01,55003,1952-08-13
80790,Senior Engineer,9999-01-01,42243,1952-03-21
80791,Senior Engineer,9999-01-01,63921,1954-06-23
80797,Senior Engineer,9999-01-01,50180,1952-04-16
80801,Senior Staff,9999-01-01,71885,1954-11-26
80805,Senior Engineer,9999-01-01,40000,1954-10-13
80810,Senior Staff,9999-01-01,72305,1955-05-21
80833,Senior Engineer,9999-01-01,56899,1953-09-18
80834,Senior Engineer,9999-01-01,63749,1952-12-12
80835,Senior Engineer,9999-01-01,63227,1953-03-09
80837,Senior Staff,9999-01-01,90827,1952-08-31
80838,Senior Staff,9999-01-01,68639,1954-04-22
80842,Senior Engineer,9999-01-01,55019,1955-03-10
80843,Senior Engineer,9999-01-01,61765,1954-07-14
80844,Technique Leader,9999-01-01,40000,1952-06-26
80846,Senior Engineer,9999-01-01,43670,1954-06-14
80851,Senior Engineer,9999-01-01,40000,1952-09-19
80852,Technique Leader,9999-01-01,66650,1953-10-20
80853,Senior Staff,9999-01-01,56618,1952-09-24
80856,Senior Staff,9999-01-01,71688,1954-04-04
80859,Senior Engineer,9999-01-01,76924,1952-12-27
80860,Engineer,9999-01-01,40834,1952-07-17
80862,Senior Staff,9999-01-01,62569,1953-10-15
80866,Engineer,9999-01-01,58307,1954-05-17
80869,Senior Engineer,9999-01-01,40000,1954-01-18
80873,Senior Staff,9999-01-01,100843,1953-07-02
80875,Staff,9999-01-01,47537,1953-01-12
80882,Senior Staff,9999-01-01,60594,1955-03-04
80892,Engineer,9999-01-01,40000,1952-11-24
80894,Senior Engineer,9999-01-01,42225,1954-07-12
80896,Senior Staff,9999-01-01,40000,1955-10-30
80897,Senior Engineer,9999-01-01,41992,1952-11-05
80903,Senior Engineer,9999-01-01,61890,1955-03-04
80908,Senior Engineer,9999-01-01,55319,1955-07-30
80910,Staff,9999-01-01,68934,1954-11-09
80914,Senior Staff,9999-01-01,50087,1952-08-17
80917,Senior Engineer,9999-01-01,47136,1955-07-21
80920,Staff,9999-01-01,40153,1953-05-19
80922,Senior Engineer,9999-01-01,55774,1953-11-18
80923,Senior Staff,9999-01-01,40000,1954-12-20
80929,Senior Staff,9999-01-01,44744,1952-08-23
80933,Engineer,9999-01-01,70267,1953-06-01
80935,Senior Engineer,9999-01-01,77408,1954-08-06
80937,Senior Staff,9999-01-01,105373,1955-07-09
80940,Senior Engineer,9999-01-01,67764,1952-05-22
80945,Senior Engineer,9999-01-01,59139,1954-10-21
80947,Technique Leader,9999-01-01,40000,1953-03-18
80955,Senior Staff,9999-01-01,40000,1954-01-18
80962,Senior Staff,9999-01-01,52745,1952-03-12
80971,Senior Engineer,9999-01-01,40000,1952-07-04
80977,Senior Engineer,9999-01-01,59776,1953-04-22
80979,Senior Staff,9999-01-01,65306,1955-12-21
80980,Senior Staff,9999-01-01,40000,1954-05-06
80981,Assistant Engineer,9999-01-01,40000,1954-04-03
80984,Senior Staff,9999-01-01,78291,1952-03-07
80987,Senior Engineer,9999-01-01,40000,1953-01-07
80991,Senior Staff,9999-01-01,61478,1952-07-31
80998,Senior Engineer,9999-01-01,56045,1955-10-25
81000,Senior Engineer,9999-01-01,51362,1953-04-05
81001,Senior Staff,9999-01-01,46872,1954-12-01
81005,Senior Engineer,9999-01-01,46079,1952-11-13
81007,Staff,9999-01-01,54177,1952-04-14
81008,Assistant Engineer,9999-01-01,45306,1955-02-04
81009,Senior Engineer,9999-01-01,40000,1953-07-04
81011,Senior Staff,9999-01-01,40000,1952-03-06
81015,Senior Engineer,9999-01-01,52989,1952-02-15
81018,Senior Engineer,9999-01-01,43821,1954-11-21
81035,Senior Staff,9999-01-01,42922,1955-04-17
81036,Technique Leader,9999-01-01,40000,1952-02-17
81038,Senior Engineer,9999-01-01,40000,1952-08-20
81043,Staff,9999-01-01,44303,1954-01-20
81047,Senior Engineer,9999-01-01,58336,1953-09-18
81050,Senior Engineer,9999-01-01,40000,1953-03-19
81052,Staff,9999-01-01,46518,1953-01-14
81053,Senior Staff,9999-01-01,44045,1953-03-23
81063,Staff,9999-01-01,61895,1952-03-12
81066,Senior Engineer,9999-01-01,54403,1955-04-14
81068,Senior Engineer,9999-01-01,41658,1955-02-09
81070,Senior Engineer,9999-01-01,64942,1955-02-14
81073,Senior Staff,9999-01-01,64379,1952-09-15
81079,Senior Staff,9999-01-01,53145,1954-12-02
81092,Staff,9999-01-01,61591,1952-11-17
81093,Engineer,9999-01-01,53326,1953-07-13
81095,Staff,9999-01-01,77362,1953-01-07
81096,Senior Staff,9999-01-01,40000,1953-11-22
81101,Senior Engineer,9999-01-01,58507,1955-01-29
81108,Senior Staff,9999-01-01,40000,1955-07-28
81109,Senior Engineer,9999-01-01,40000,1954-08-20
81110,Senior Staff,9999-01-01,68618,1955-05-29
81111,Senior Staff,9999-01-01,40000,1953-06-18
81121,Senior Staff,9999-01-01,87452,1953-03-21
81123,Engineer,9999-01-01,40000,1955-06-09
81125,Staff,9999-01-01,47769,1954-09-17
81130,Senior Staff,9999-01-01,40000,1955-05-03
81136,Staff,9999-01-01,58356,1954-06-28
81140,Engineer,9999-01-01,66326,1953-10-02
81142,Senior Staff,9999-01-01,40000,1954-06-07
81143,Senior Staff,9999-01-01,72320,1953-11-10
81149,Engineer,9999-01-01,40000,1954-05-20
81152,Senior Engineer,9999-01-01,43255,1955-08-17
